Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
47,-,37,6,0,127.02,7,not out,1,v England,Bengaluru,1985-01-20,https://stats.espncricinfo.com/ci/engine/match/64251.html,205,6,22.926829268292686
47,-,55,2,2,85.45,4,bowled,2,v England,Nagpur,1985-01-23,https://stats.espncricinfo.com/ci/engine/match/64252.html,241,7,19.502074688796682
10,-,11,1,0,90.90,4,caught,2,v England,Chandigarh,1985-01-27,https://stats.espncricinfo.com/ci/engine/match/64253.html,114,5,8.771929824561402
93,190,135,4,0,68.88,3,not out,2,v Pakistan,Melbourne,1985-02-20,https://stats.espncricinfo.com/ci/engine/match/65721.html,184,4,50.54347826086957
45,68,67,1,0,67.16,3,caught,1,v England,Sydney,1985-02-26,https://stats.espncricinfo.com/ci/engine/match/65724.html,235,9,19.148936170212767
0,3,2,0,0,0.00,3,lbw,2,v Australia,Melbourne,1985-03-03,https://stats.espncricinfo.com/ci/engine/match/65727.html,165,2,0.0
24,60,54,2,0,44.44,3,caught,2,v New Zealand,Sydney,1985-03-05,https://stats.espncricinfo.com/ci/engine/match/65728.html,207,3,11.594202898550725
25,38,26,3,0,96.15,3,bowled,2,v Pakistan,Melbourne,1985-03-10,https://stats.espncricinfo.com/ci/engine/match/65731.html,177,2,14.124293785310735
47,-,93,3,0,50.53,3,bowled,1,v Pakistan,Sharjah,1985-03-22,https://stats.espncricinfo.com/ci/engine/match/65732.html,125,10,37.6
22,51,44,3,0,50.00,3,caught,2,v Australia,Sharjah,1985-03-29,https://stats.espncricinfo.com/ci/engine/match/65735.html,140,7,15.714285714285714
7,-,9,0,0,77.77,3,bowled,2,v Sri Lanka,Colombo (SSC),1985-08-25,https://stats.espncricinfo.com/ci/engine/match/64261.html,242,8,2.8925619834710745
26,-,30,2,0,86.66,3,caught,2,v Sri Lanka,Colombo (PSS),1985-09-21,https://stats.espncricinfo.com/ci/engine/match/64262.html,157,4,16.560509554140125
13,-,10,0,0,130.00,3,run out,1,v Sri Lanka,Colombo (PSS),1985-09-22,https://stats.espncricinfo.com/ci/engine/match/64263.html,194,6,6.701030927835052
3,-,13,0,0,23.07,3,lbw,2,v Pakistan,Sharjah,1985-11-17,https://stats.espncricinfo.com/ci/engine/match/65737.html,155,10,1.935483870967742
35,-,72,2,0,48.61,5,run out,1,v West Indies,Sharjah,1985-11-22,https://stats.espncricinfo.com/ci/engine/match/65738.html,180,4,19.444444444444446
13,13,12,2,0,108.33,4,run out,2,v New Zealand,Brisbane,1986-01-11,https://stats.espncricinfo.com/ci/engine/match/65392.html,263,5,4.942965779467681
35,81,57,3,0,61.40,5,bowled,1,v Australia,Brisbane,1986-01-12,https://stats.espncricinfo.com/ci/engine/match/65393.html,161,10,21.73913043478261
11,34,20,0,0,55.00,4,not out,2,v Australia,Melbourne,1986-01-16,https://stats.espncricinfo.com/ci/engine/match/65395.html,162,2,6.790123456790123
11,52,38,1,0,28.94,4,bowled,1,v New Zealand,Perth,1986-01-18,https://stats.espncricinfo.com/ci/engine/match/65396.html,113,10,9.734513274336283
17,38,40,0,0,42.50,6,not out,2,v Australia,Sydney,1986-01-21,https://stats.espncricinfo.com/ci/engine/match/65398.html,192,4,8.854166666666668
12,14,17,0,0,70.58,5,run out,1,v New Zealand,Melbourne,1986-01-23,https://stats.espncricinfo.com/ci/engine/match/65399.html,238,8,5.042016806722689
69,136,90,8,0,76.66,5,not out,2,v New Zealand,Adelaide,1986-01-25,https://stats.espncricinfo.com/ci/engine/match/65400.html,174,5,39.6551724137931
2,23,13,0,0,15.38,5,caught,2,v Australia,Adelaide,1986-01-26,https://stats.espncricinfo.com/ci/engine/match/65401.html,226,10,0.8849557522123894
3,6,4,0,0,75.00,5,caught,1,v New Zealand,Launceston,1986-02-02,https://stats.espncricinfo.com/ci/engine/match/65405.html,202,9,1.4851485148514851
1,13,14,0,0,7.14,5,bowled,2,v Australia,Sydney,1986-02-05,https://stats.espncricinfo.com/ci/engine/match/65406.html,159,10,0.628930817610063
14,33,26,1,0,53.84,6,run out,1,v Australia,Melbourne,1986-02-09,https://stats.espncricinfo.com/ci/engine/match/65407.html,187,10,7.4866310160427805
6,14,18,0,0,33.33,3,caught,2,v New Zealand,Sharjah,1986-04-10,https://stats.espncricinfo.com/ci/engine/match/65812.html,134,7,4.477611940298507
30,-,65,1,0,46.15,3,bowled,2,v Sri Lanka,Sharjah,1986-04-13,https://stats.espncricinfo.com/ci/engine/match/65814.html,206,7,14.563106796116504
83,-,154,8,0,53.89,3,not out,2,v England,The Oval,1986-05-24,https://stats.espncricinfo.com/ci/engine/match/64982.html,163,1,50.920245398773
7,-,39,0,0,17.94,3,caught,1,v England,Manchester,1986-05-26,https://stats.espncricinfo.com/ci/engine/match/64983.html,254,6,2.7559055118110236
16,50,44,0,0,36.36,5,caught,1,v Australia,Srinagar,1986-09-09,https://stats.espncricinfo.com/ci/engine/match/64286.html,222,8,7.207207207207207
8,35,14,2,0,57.14,3,not out,2,v Australia,Hyderabad (Deccan),1986-09-24,https://stats.espncricinfo.com/ci/engine/match/64287.html,41,1,19.51219512195122
15,26,18,1,0,83.33,8,caught,2,v Australia,Delhi,1986-10-02,https://stats.espncricinfo.com/ci/engine/match/64288.html,242,7,6.198347107438017
10,18,15,1,0,66.66,4,caught,1,v Australia,Ahmedabad,1986-10-05,https://stats.espncricinfo.com/ci/engine/match/64289.html,193,10,5.181347150259067
28,70,56,2,0,50.00,3,run out,1,v Australia,Rajkot,1986-10-07,https://stats.espncricinfo.com/ci/engine/match/64290.html,260,6,10.76923076923077
50,-,79,0,0,63.29,4,not out,2,v Sri Lanka,Sharjah,1986-11-27,https://stats.espncricinfo.com/ci/engine/match/65835.html,215,3,23.25581395348837
38,-,67,1,0,56.71,5,bowled,2,v West Indies,Sharjah,1986-11-30,https://stats.espncricinfo.com/ci/engine/match/65837.html,165,8,23.03030303030303
49,-,86,4,0,56.97,5,caught,1,v Pakistan,Sharjah,1986-12-05,https://stats.espncricinfo.com/ci/engine/match/65840.html,144,10,34.02777777777778
