Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
0,1,1,0,0,0.00,7,run out,1,v Bangladesh,Chattogram,2004-12-23,https://stats.espncricinfo.com/ci/engine/match/64914.html,245,8,0.0,W
12,16,11,2,0,109.09,7,caught,2,v Bangladesh,Dhaka,2004-12-26,https://stats.espncricinfo.com/ci/engine/match/64916.html,214,10,5.607476635514018,L
7,2,2,0,1,350.00,7,not out,1,v Bangladesh,Dhaka,2004-12-27,https://stats.espncricinfo.com/ci/engine/match/64917.html,348,5,2.0114942528735633,W
3,8,7,0,0,42.85,7,caught,1,v Pakistan,Kochi,2005-04-02,https://stats.espncricinfo.com/ci/engine/match/64938.html,281,8,1.0676156583629894,W
148,155,123,15,4,120.32,3,caught,1,v Pakistan,Visakhapatnam,2005-04-05,https://stats.espncricinfo.com/ci/engine/match/64939.html,356,9,41.57303370786517,W
28,36,24,5,0,116.66,3,caught,2,v Pakistan,Jamshedpur,2005-04-09,https://stats.espncricinfo.com/ci/engine/match/64940.html,213,10,13.145539906103288,L
47,90,64,4,1,73.43,3,caught,1,v Pakistan,Ahmedabad,2005-04-12,https://stats.espncricinfo.com/ci/engine/match/64941.html,315,6,14.920634920634921,L
11,20,16,1,0,68.75,3,caught,1,v Pakistan,Kanpur,2005-04-15,https://stats.espncricinfo.com/ci/engine/match/64942.html,249,6,4.417670682730924,L
24,71,38,2,0,63.15,3,caught,2,v Pakistan,Delhi,2005-04-17,https://stats.espncricinfo.com/ci/engine/match/64943.html,144,10,16.666666666666664,L
2,17,7,0,0,28.57,2,bowled,1,v Sri Lanka,Dambulla,2005-07-30,https://stats.espncricinfo.com/ci/engine/match/214634.html,205,9,0.975609756097561,L
15,22,11,1,1,136.36,6,not out,2,v West Indies,Dambulla,2005-07-31,https://stats.espncricinfo.com/ci/engine/match/214742.html,180,4,8.333333333333332,W
20,35,27,1,0,74.07,4,caught,1,v Sri Lanka,Dambulla,2005-08-03,https://stats.espncricinfo.com/ci/engine/match/214921.html,220,8,9.090909090909092,L
28,17,13,1,2,215.38,7,not out,1,v West Indies,Colombo (RPS),2005-08-07,https://stats.espncricinfo.com/ci/engine/match/215286.html,262,4,10.687022900763358,W
7,11,11,0,0,63.63,6,lbw,2,v Sri Lanka,Colombo (RPS),2005-08-09,https://stats.espncricinfo.com/ci/engine/match/215449.html,263,9,2.6615969581749046,L
2,13,5,0,0,40.00,7,caught,2,v New Zealand,Bulawayo,2005-08-26,https://stats.espncricinfo.com/ci/engine/match/217116.html,164,10,1.2195121951219512,L
56,-,46,2,4,121.73,6,caught,1,v Zimbabwe,Harare,2005-08-29,https://stats.espncricinfo.com/ci/engine/match/217481.html,226,6,24.778761061946902,W
37,-,27,3,2,137.03,6,not out,2,v New Zealand,Harare,2005-09-02,https://stats.espncricinfo.com/ci/engine/match/217811.html,279,4,13.261648745519713,W
67,90,63,1,3,106.34,7,not out,2,v Zimbabwe,Harare,2005-09-04,https://stats.espncricinfo.com/ci/engine/match/217979.html,255,6,26.27450980392157,W
11,26,16,1,0,68.75,7,lbw,1,v New Zealand,Harare,2005-09-06,https://stats.espncricinfo.com/ci/engine/match/218250.html,276,10,3.985507246376811,L
38,33,28,3,2,135.71,6,caught,1,v Sri Lanka,Nagpur,2005-10-25,https://stats.espncricinfo.com/ci/engine/match/223018.html,350,6,10.857142857142858,W
183,210,145,15,10,126.20,3,not out,2,v Sri Lanka,Jaipur,2005-10-31,https://stats.espncricinfo.com/ci/engine/match/223634.html,303,4,60.396039603960396,W
45,65,43,1,2,104.65,6,not out,2,v Sri Lanka,Pune,2005-11-03,https://stats.espncricinfo.com/ci/engine/match/223902.html,262,6,17.17557251908397,W
0,1,1,0,0,0.00,3,lbw,1,v Sri Lanka,Ahmedabad,2005-11-06,https://stats.espncricinfo.com/ci/engine/match/224231.html,285,8,0.0,L
80,106,73,9,3,109.58,4,caught,2,v Sri Lanka,Vadodara,2005-11-12,https://stats.espncricinfo.com/ci/engine/match/225437.html,245,5,32.6530612244898,W
17,39,28,1,0,60.71,8,run out,1,v South Africa,Hyderabad,2005-11-16,https://stats.espncricinfo.com/ci/engine/match/225959.html,249,9,6.827309236947792,L
14,41,26,0,0,53.84,8,caught,1,v South Africa,Eden Gardens,2005-11-25,https://stats.espncricinfo.com/ci/engine/match/226358.html,188,10,7.446808510638298,L
12,37,26,1,0,46.15,6,caught,2,v South Africa,Wankhede,2005-11-28,https://stats.espncricinfo.com/ci/engine/match/226359.html,224,5,5.357142857142857,W
68,68,53,11,1,128.30,4,caught,1,v Pakistan,Peshawar,2006-02-06,https://stats.espncricinfo.com/ci/engine/match/235831.html,328,10,20.73170731707317,L
72,60,46,13,0,156.52,7,not out,2,v Pakistan,Lahore,2006-02-13,https://stats.espncricinfo.com/ci/engine/match/236809.html,292,5,24.65753424657534,W
2,23,5,0,0,40.00,7,not out,2,v Pakistan,Multan,2006-02-16,https://stats.espncricinfo.com/ci/engine/match/237222.html,162,5,1.2345679012345678,W
