Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
3,-,4,0,0,75.00,4,caught,1,v Sri Lanka,Singapore,1996-04-03,https://stats.espncricinfo.com/ci/engine/match/66027.html,199,10,1.507537688442211
4,-,7,0,0,57.14,4,run out,1,v Pakistan,Singapore,1996-04-05,https://stats.espncricinfo.com/ci/engine/match/66028.html,226,8,1.7699115044247788
3,-,5,0,0,60.00,5,caught,2,v Pakistan,Sharjah,1996-04-12,https://stats.espncricinfo.com/ci/engine/match/65754.html,233,10,1.2875536480686696
11,28,21,0,0,52.38,8,caught,2,v South Africa,Sharjah,1996-04-14,https://stats.espncricinfo.com/ci/engine/match/65756.html,208,8,5.288461538461538
22,21,15,3,0,146.66,6,not out,1,v England,Manchester,1996-05-26,https://stats.espncricinfo.com/ci/engine/match/65019.html,236,4,9.322033898305085
7,-,4,0,0,175.00,6,not out,1,v Sri Lanka,Colombo (RPS),1996-08-28,https://stats.espncricinfo.com/ci/engine/match/65982.html,226,5,3.0973451327433628
13,45,25,1,0,52.00,3,bowled,1,v Australia,Colombo (SSC),1996-09-06,https://stats.espncricinfo.com/ci/engine/match/65986.html,201,10,6.467661691542288
39,-,50,3,0,78.00,3,caught,2,v Pakistan,Toronto,1996-09-16,https://stats.espncricinfo.com/ci/engine/match/66030.html,173,2,22.54335260115607
90,-,114,6,0,78.94,3,bowled,1,v Pakistan,Toronto,1996-09-17,https://stats.espncricinfo.com/ci/engine/match/66031.html,264,6,34.090909090909086
46,-,93,3,0,49.46,3,caught,1,v Pakistan,Toronto,1996-09-18,https://stats.espncricinfo.com/ci/engine/match/66032.html,191,10,24.083769633507853
25,-,25,3,1,100.00,3,caught,2,v Pakistan,Toronto,1996-09-21,https://stats.espncricinfo.com/ci/engine/match/66033.html,161,10,15.527950310559005
20,-,39,0,0,51.28,3,caught,2,v Pakistan,Toronto,1996-09-23,https://stats.espncricinfo.com/ci/engine/match/66034.html,161,10,12.422360248447205
62,114,87,6,0,71.26,3,caught,2,v South Africa,Hyderabad (Deccan),1996-10-17,https://stats.espncricinfo.com/ci/engine/match/66059.html,214,10,28.971962616822427
6,18,13,1,0,46.15,3,lbw,2,v Australia,Bengaluru,1996-10-21,https://stats.espncricinfo.com/ci/engine/match/66061.html,216,8,2.7777777777777777
0,1,1,0,0,0.00,3,caught,2,v South Africa,Jaipur,1996-10-23,https://stats.espncricinfo.com/ci/engine/match/66062.html,222,7,0.0
21,57,40,0,0,52.50,4,run out,1,v South Africa,Rajkot,1996-10-29,https://stats.espncricinfo.com/ci/engine/match/66064.html,185,10,11.351351351351353
56,-,68,3,0,82.35,5,caught,1,v Australia,Mohali,1996-11-03,https://stats.espncricinfo.com/ci/engine/match/66066.html,289,6,19.377162629757784
31,52,41,2,0,75.60,5,bowled,1,v South Africa,Wankhede,1996-11-06,https://stats.espncricinfo.com/ci/engine/match/66067.html,220,7,14.09090909090909
16,44,32,1,0,50.00,4,run out,1,v South Africa,Wankhede,1996-12-14,https://stats.espncricinfo.com/ci/engine/match/64533.html,267,6,5.992509363295881
8,26,22,0,0,36.36,5,bowled,2,v South Africa,Bloemfontein,1997-01-23,https://stats.espncricinfo.com/ci/engine/match/66068.html,231,10,3.463203463203463
23,56,43,2,0,53.48,5,run out,2,v Zimbabwe,Paarl,1997-01-27,https://stats.espncricinfo.com/ci/engine/match/66070.html,236,10,9.745762711864407
50,152,104,3,1,48.07,2,caught,1,v South Africa,Gqeberha,1997-02-02,https://stats.espncricinfo.com/ci/engine/match/66073.html,179,9,27.932960893854748
53,102,71,5,0,74.64,2,run out,1,v South Africa,East London,1997-02-04,https://stats.espncricinfo.com/ci/engine/match/66074.html,232,5,22.844827586206897
12,30,30,1,0,40.00,2,caught,1,v Zimbabwe,Centurion,1997-02-07,https://stats.espncricinfo.com/ci/engine/match/66075.html,216,10,5.555555555555555
17,54,27,0,0,62.96,4,bowled,2,v Zimbabwe,Benoni,1997-02-09,https://stats.espncricinfo.com/ci/engine/match/66076.html,241,4,7.053941908713693
33,68,70,3,0,47.14,3,caught,1,v South Africa,Durban,1997-02-12,https://stats.espncricinfo.com/ci/engine/match/66077.html,191,9,17.277486910994764
84,140,94,5,1,89.36,3,caught,2,v South Africa,Durban,1997-02-13,https://stats.espncricinfo.com/ci/engine/match/66078.html,234,10,35.8974358974359
17,60,44,2,0,38.63,3,caught,1,v West Indies,Port of Spain,1997-04-26,https://stats.espncricinfo.com/ci/engine/match/64552.html,179,10,9.497206703910614
74,111,105,6,0,70.47,3,bowled,2,v West Indies,Kingstown,1997-04-30,https://stats.espncricinfo.com/ci/engine/match/64554.html,231,10,32.03463203463203
30,77,61,4,0,49.18,3,caught,1,v West Indies,Bridgetown,1997-05-03,https://stats.espncricinfo.com/ci/engine/match/64555.html,199,7,15.07537688442211
21,48,31,3,0,67.74,3,not out,2,v New Zealand,Bengaluru,1997-05-14,https://stats.espncricinfo.com/ci/engine/match/66110.html,221,2,9.502262443438914
61,135,103,8,0,59.22,3,bowled,1,v Sri Lanka,Wankhede,1997-05-17,https://stats.espncricinfo.com/ci/engine/match/66111.html,225,7,27.111111111111114
107,199,116,10,0,92.24,3,caught,2,v Pakistan,Chennai,1997-05-21,https://stats.espncricinfo.com/ci/engine/match/66113.html,292,10,36.64383561643836
69,123,102,6,0,67.64,4,bowled,1,v Sri Lanka,Colombo (RPS),1997-07-18,https://stats.espncricinfo.com/ci/engine/match/65694.html,227,6,30.396475770925107
7,17,12,1,0,58.33,3,caught,1,v Sri Lanka,Colombo (RPS),1997-07-26,https://stats.espncricinfo.com/ci/engine/match/65698.html,239,7,2.928870292887029
