Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
3,33,13,0,0,23.07,6,lbw,1,v West Indies,Brisbane,1992-01-11,https://stats.espncricinfo.com/ci/engine/match/65487.html,191,10,1.5706806282722512
46,117,83,3,0,55.42,3,stumped,1,v England,Manchester,1996-05-26,https://stats.espncricinfo.com/ci/engine/match/65019.html,236,4,19.491525423728813
16,-,41,3,0,39.02,3,caught,1,v Sri Lanka,Colombo (RPS),1996-08-28,https://stats.espncricinfo.com/ci/engine/match/65982.html,226,5,7.079646017699115
36,59,52,3,1,69.23,3,caught,2,v Zimbabwe,Colombo (SSC),1996-09-01,https://stats.espncricinfo.com/ci/engine/match/65984.html,229,3,15.72052401746725
59,102,75,7,0,78.66,7,lbw,1,v Australia,Colombo (SSC),1996-09-06,https://stats.espncricinfo.com/ci/engine/match/65986.html,201,10,29.35323383084577
11,-,8,1,0,137.50,8,not out,1,v Pakistan,Toronto,1996-09-17,https://stats.espncricinfo.com/ci/engine/match/66031.html,264,6,4.166666666666666
12,-,21,1,0,57.14,6,lbw,2,v Pakistan,Toronto,1996-09-23,https://stats.espncricinfo.com/ci/engine/match/66034.html,161,10,7.453416149068323
31,53,42,3,1,73.80,5,caught,2,v South Africa,Hyderabad (Deccan),1996-10-17,https://stats.espncricinfo.com/ci/engine/match/66059.html,214,10,14.485981308411214
4,5,4,1,0,100.00,5,run out,2,v Australia,Bengaluru,1996-10-21,https://stats.espncricinfo.com/ci/engine/match/66061.html,216,8,1.8518518518518516
54,165,104,3,0,51.92,1,bowled,2,v South Africa,Jaipur,1996-10-23,https://stats.espncricinfo.com/ci/engine/match/66062.html,222,7,24.324324324324326
40,97,64,6,0,62.50,1,caught,2,v South Africa,Bloemfontein,1997-01-23,https://stats.espncricinfo.com/ci/engine/match/66068.html,231,10,17.316017316017316
38,123,79,3,0,48.10,2,caught,2,v Zimbabwe,Paarl,1997-01-27,https://stats.espncricinfo.com/ci/engine/match/66070.html,236,10,16.101694915254235
0,3,4,0,0,0.00,1,run out,1,v South Africa,Gqeberha,1997-02-02,https://stats.espncricinfo.com/ci/engine/match/66073.html,179,9,0.0
83,171,136,6,1,61.02,1,run out,1,v South Africa,East London,1997-02-04,https://stats.espncricinfo.com/ci/engine/match/66074.html,232,5,35.775862068965516
31,83,44,3,0,70.45,1,caught,1,v Zimbabwe,Centurion,1997-02-07,https://stats.espncricinfo.com/ci/engine/match/66075.html,216,10,14.351851851851851
12,14,14,1,0,85.71,1,caught,2,v Zimbabwe,Benoni,1997-02-09,https://stats.espncricinfo.com/ci/engine/match/66076.html,241,4,4.979253112033195
18,49,43,2,0,41.86,1,run out,1,v South Africa,Durban,1997-02-12,https://stats.espncricinfo.com/ci/engine/match/66077.html,191,9,9.424083769633508
5,11,10,0,0,50.00,1,caught,2,v South Africa,Durban,1997-02-13,https://stats.espncricinfo.com/ci/engine/match/66078.html,234,10,2.1367521367521367
2,24,20,0,0,10.00,3,run out,1,v Zimbabwe,Bulawayo,1997-02-15,https://stats.espncricinfo.com/ci/engine/match/64537.html,168,10,1.1904761904761905
39,111,77,2,0,50.64,2,not out,2,v West Indies,Port of Spain,1997-04-27,https://stats.espncricinfo.com/ci/engine/match/64553.html,116,10,33.62068965517241
79,161,108,5,0,73.14,2,caught,2,v West Indies,Kingstown,1997-04-30,https://stats.espncricinfo.com/ci/engine/match/64554.html,231,10,34.1991341991342
4,6,5,1,0,80.00,2,bowled,1,v West Indies,Bridgetown,1997-05-03,https://stats.espncricinfo.com/ci/engine/match/64555.html,199,7,2.0100502512562812
62,145,87,8,1,71.26,1,caught,2,v New Zealand,Bengaluru,1997-05-14,https://stats.espncricinfo.com/ci/engine/match/66110.html,221,2,28.054298642533936
0,1,1,0,0,0.00,1,bowled,1,v Sri Lanka,Wankhede,1997-05-17,https://stats.espncricinfo.com/ci/engine/match/66111.html,225,7,0.0
33,51,28,7,0,117.85,2,caught,2,v Pakistan,Chennai,1997-05-21,https://stats.espncricinfo.com/ci/engine/match/66113.html,292,10,11.301369863013697
11,38,22,2,0,50.00,2,caught,1,v Sri Lanka,Colombo (RPS),1997-07-18,https://stats.espncricinfo.com/ci/engine/match/65694.html,227,6,4.845814977973569
73,75,52,8,2,140.38,1,not out,2,v Bangladesh,Colombo (SSC),1997-07-24,https://stats.espncricinfo.com/ci/engine/match/65697.html,132,1,55.3030303030303
34,86,55,5,0,61.81,1,caught,1,v Sri Lanka,Colombo (RPS),1997-07-26,https://stats.espncricinfo.com/ci/engine/match/65698.html,239,7,14.225941422594143
31,36,26,4,0,119.23,2,run out,2,v Sri Lanka,Colombo (RPS),1997-08-17,https://stats.espncricinfo.com/ci/engine/match/64557.html,300,7,10.333333333333334
113,185,126,11,0,89.68,2,caught,1,v Sri Lanka,Colombo (RPS),1997-08-20,https://stats.espncricinfo.com/ci/engine/match/64558.html,238,10,47.47899159663865
14,32,20,1,0,70.00,1,caught,1,v Sri Lanka,Colombo (SSC),1997-08-23,https://stats.espncricinfo.com/ci/engine/match/64559.html,291,9,4.810996563573884
17,61,23,3,0,73.91,2,caught,2,v Sri Lanka,Colombo (SSC),1997-08-24,https://stats.espncricinfo.com/ci/engine/match/64560.html,255,8,6.666666666666667
17,76,41,3,0,41.46,2,caught,1,v Pakistan,Toronto,1997-09-13,https://stats.espncricinfo.com/ci/engine/match/66035.html,208,10,8.173076923076923
32,122,86,4,0,37.20,1,caught,2,v Pakistan,Toronto,1997-09-14,https://stats.espncricinfo.com/ci/engine/match/66036.html,117,3,27.350427350427353
2,26,20,0,0,10.00,1,caught,1,v Pakistan,Toronto,1997-09-18,https://stats.espncricinfo.com/ci/engine/match/66038.html,182,6,1.098901098901099
75,136,75,8,1,100.00,2,not out,2,v Pakistan,Toronto,1997-09-20,https://stats.espncricinfo.com/ci/engine/match/66039.html,162,3,46.2962962962963
96,205,136,5,2,70.58,2,caught,1,v Pakistan,Toronto,1997-09-21,https://stats.espncricinfo.com/ci/engine/match/66040.html,250,5,38.4
0,7,5,0,0,0.00,2,caught,1,v Pakistan,Hyderabad (Sind),1997-09-28,https://stats.espncricinfo.com/ci/engine/match/64561.html,170,10,0.0
89,117,96,11,0,92.70,2,caught,2,v Pakistan,Karachi,1997-09-30,https://stats.espncricinfo.com/ci/engine/match/64562.html,266,6,33.45864661654135
26,58,36,3,0,72.22,2,caught,1,v Pakistan,Lahore,1997-10-02,https://stats.espncricinfo.com/ci/engine/match/64564.html,216,10,12.037037037037036
29,54,41,4,0,70.73,2,bowled,2,v England,Sharjah,1997-12-11,https://stats.espncricinfo.com/ci/engine/match/65873.html,243,10,11.934156378600823
90,193,128,3,3,70.31,2,bowled,1,v Pakistan,Sharjah,1997-12-14,https://stats.espncricinfo.com/ci/engine/match/65876.html,239,7,37.65690376569037
70,120,94,5,1,74.46,1,stumped,2,v West Indies,Sharjah,1997-12-16,https://stats.espncricinfo.com/ci/engine/match/65878.html,188,10,37.234042553191486
12,43,31,0,0,38.70,1,bowled,2,v Sri Lanka,Guwahati,1997-12-22,https://stats.espncricinfo.com/ci/engine/match/64567.html,173,3,6.9364161849710975
61,137,86,4,1,70.93,2,caught,1,v Sri Lanka,Margao,1997-12-28,https://stats.espncricinfo.com/ci/engine/match/64569.html,228,6,26.75438596491228
11,-,19,2,0,57.89,1,caught,2,v Bangladesh,Dhaka,1998-01-10,https://stats.espncricinfo.com/ci/engine/match/66131.html,191,6,5.7591623036649215
13,-,17,3,0,76.47,1,caught,1,v Pakistan,Dhaka,1998-01-11,https://stats.espncricinfo.com/ci/engine/match/66132.html,245,7,5.3061224489795915
