Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,2008-08-18,https://stats.espncricinfo.com/ci/engine/match/343732.html,146,10,8.21917808219178,L
37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,2008-08-20,https://stats.espncricinfo.com/ci/engine/match/343733.html,143,7,25.874125874125873,W
25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),2008-08-24,https://stats.espncricinfo.com/ci/engine/match/343734.html,237,9,10.548523206751055,W
54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),2008-08-27,https://stats.espncricinfo.com/ci/engine/match/366341.html,258,10,20.930232558139537,W
31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),2008-08-29,https://stats.espncricinfo.com/ci/engine/match/343736.html,103,10,30.097087378640776,L
2,6,2,0,0,100.00,7,not out,1,v Sri Lanka,Colombo (RPS),2009-09-14,https://stats.espncricinfo.com/ci/engine/match/403383.html,319,5,0.6269592476489028,W
16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion,2009-09-26,https://stats.espncricinfo.com/ci/engine/match/415278.html,248,10,6.451612903225806,L
79,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg,2009-09-30,https://stats.espncricinfo.com/ci/engine/match/415284.html,130,3,60.76923076923077,W
30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,2009-10-25,https://stats.espncricinfo.com/ci/engine/match/416236.html,288,8,10.416666666666668,L
10,32,16,1,0,62.50,3,caught,2,v Australia,Mohali,2009-11-02,https://stats.espncricinfo.com/ci/engine/match/416239.html,226,10,4.424778761061947,L
27,20,19,4,0,142.10,7,bowled,1,v Sri Lanka,Rajkot,2009-12-15,https://stats.espncricinfo.com/ci/engine/match/430886.html,414,7,6.521739130434782,W
54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,2009-12-18,https://stats.espncricinfo.com/ci/engine/match/430887.html,301,7,17.940199335548172,L
107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Eden Gardens,2009-12-24,https://stats.espncricinfo.com/ci/engine/match/430889.html,317,3,33.753943217665615,W
9,19,12,1,0,75.00,3,caught,1,v Sri Lanka,Mirpur,2010-01-05,https://stats.espncricinfo.com/ci/engine/match/434259.html,279,9,3.225806451612903,L
91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur,2010-01-07,https://stats.espncricinfo.com/ci/engine/match/434260.html,297,4,30.63973063973064,W
71,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur,2010-01-10,https://stats.espncricinfo.com/ci/engine/match/434262.html,214,2,33.177570093457945,W
102,128,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur,2010-01-11,https://stats.espncricinfo.com/ci/engine/match/434263.html,249,4,40.963855421686745,W
2,6,8,0,0,25.00,3,caught,1,v Sri Lanka,Mirpur,2010-01-13,https://stats.espncricinfo.com/ci/engine/match/434264.html,245,10,0.8163265306122449,L
31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,2010-02-21,https://stats.espncricinfo.com/ci/engine/match/441827.html,298,9,10.40268456375839,W
57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,2010-02-27,https://stats.espncricinfo.com/ci/engine/match/441829.html,275,10,20.727272727272727,L
0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo,2010-05-28,https://stats.espncricinfo.com/ci/engine/match/452146.html,285,5,0.0,L
82,125,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo,2010-05-30,https://stats.espncricinfo.com/ci/engine/match/452147.html,243,3,33.744855967078195,W
18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,2010-06-03,https://stats.espncricinfo.com/ci/engine/match/452149.html,194,9,9.278350515463918,L
68,123,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare,2010-06-05,https://stats.espncricinfo.com/ci/engine/match/452150.html,268,9,25.37313432835821,L
11,35,22,0,0,50.00,3,stumped,2,v Bangladesh,Dambulla,2010-06-16,https://stats.espncricinfo.com/ci/engine/match/455232.html,168,4,6.547619047619048,W
18,31,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla,2010-06-19,https://stats.espncricinfo.com/ci/engine/match/455234.html,271,7,6.642066420664207,W
10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,2010-06-22,https://stats.espncricinfo.com/ci/engine/match/455236.html,209,10,4.784688995215311,L
28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,2010-06-24,https://stats.espncricinfo.com/ci/engine/match/455237.html,268,6,10.44776119402985,W
0,5,3,0,0,0.00,3,caught,2,v Sri Lanka,Dambulla,2010-08-16,https://stats.espncricinfo.com/ci/engine/match/456663.html,171,4,0.0,W
