Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
8,13,9,0,0,88.88,7,bowled,1,v South Africa,Belfast,2007-06-26,https://stats.espncricinfo.com/ci/engine/match/293076.html,242,8,3.3057851239669422,L
1,3,4,0,0,25.00,7,caught,2,v Australia,Hyderabad,2007-10-05,https://stats.espncricinfo.com/ci/engine/match/297795.html,243,10,0.411522633744856,L
52,82,61,3,1,85.24,5,caught,2,v Pakistan,Jaipur,2007-11-18,https://stats.espncricinfo.com/ci/engine/match/297805.html,275,10,18.90909090909091,L
29,68,43,5,0,67.44,4,caught,1,v Australia,Brisbane,2008-02-03,https://stats.espncricinfo.com/ci/engine/match/291359.html,194,10,14.948453608247423,L
0,1,2,0,0,0.00,5,caught,1,v Sri Lanka,Brisbane,2008-02-05,https://stats.espncricinfo.com/ci/engine/match/291360.html,267,4,0.0,L
39,86,61,2,0,63.93,6,not out,2,v Australia,Melbourne,2008-02-10,https://stats.espncricinfo.com/ci/engine/match/291362.html,160,5,24.375,W
70,93,64,6,1,109.37,4,not out,1,v Sri Lanka,Canberra,2008-02-12,https://stats.espncricinfo.com/ci/engine/match/291363.html,195,5,35.8974358974359,L
1,12,3,0,0,33.33,4,caught,2,v Australia,Adelaide,2008-02-17,https://stats.espncricinfo.com/ci/engine/match/291365.html,153,10,0.6535947712418301,L
24,74,36,1,0,66.66,4,caught,2,v Sri Lanka,Adelaide,2008-02-19,https://stats.espncricinfo.com/ci/engine/match/291366.html,239,8,10.0418410041841,W
1,3,3,0,0,33.33,4,caught,2,v Australia,Sydney,2008-02-24,https://stats.espncricinfo.com/ci/engine/match/291368.html,299,10,0.33444816053511706,L
3,8,7,0,0,42.85,5,not out,2,v Sri Lanka,Hobart,2008-02-26,https://stats.espncricinfo.com/ci/engine/match/291369.html,180,3,1.6666666666666667,W
66,108,87,6,0,75.86,5,bowled,2,v Australia,Sydney,2008-03-02,https://stats.espncricinfo.com/ci/engine/match/291371.html,242,4,27.27272727272727,W
2,6,5,0,0,40.00,6,caught,1,v Australia,Brisbane,2008-03-04,https://stats.espncricinfo.com/ci/engine/match/291372.html,258,9,0.7751937984496124,W
9,28,27,0,0,33.33,5,bowled,1,v Pakistan,Mirpur,2008-06-10,https://stats.espncricinfo.com/ci/engine/match/345469.html,330,8,2.727272727272727,W
