Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored,Match Result
0,-,2,0,0,0.00,5,caught,2,v Pakistan,Gujranwala,1989-12-18,https://stats.espncricinfo.com/ci/engine/match/64346.html,80,9,0.0,L
0,2,2,0,0,0.00,5,caught,2,v New Zealand,Dunedin,1990-03-01,https://stats.espncricinfo.com/ci/engine/match/65933.html,138,10,0.0,L
36,51,39,5,0,92.30,6,caught,1,v New Zealand,Wellington,1990-03-06,https://stats.espncricinfo.com/ci/engine/match/65936.html,221,10,16.289592760180994,W
10,-,12,0,0,83.33,5,run out,1,v Sri Lanka,Sharjah,1990-04-25,https://stats.espncricinfo.com/ci/engine/match/65817.html,241,8,4.149377593360995,L
20,-,25,1,0,80.00,7,caught,2,v Pakistan,Sharjah,1990-04-27,https://stats.espncricinfo.com/ci/engine/match/65819.html,209,10,9.569377990430622,L
19,38,35,1,1,54.28,4,bowled,2,v England,Leeds,1990-07-18,https://stats.espncricinfo.com/ci/engine/match/64998.html,233,4,8.15450643776824,W
31,31,26,3,0,119.23,6,bowled,2,v England,Nottingham,1990-07-20,https://stats.espncricinfo.com/ci/engine/match/64999.html,282,5,10.99290780141844,W
36,-,22,3,2,163.63,5,bowled,1,v Sri Lanka,Nagpur,1990-12-01,https://stats.espncricinfo.com/ci/engine/match/64361.html,245,5,14.69387755102041,W
53,-,41,7,1,129.26,5,bowled,2,v Sri Lanka,Pune,1990-12-05,https://stats.espncricinfo.com/ci/engine/match/64362.html,230,4,23.043478260869566,W
30,-,29,1,2,103.44,5,caught,1,v Sri Lanka,Margao,1990-12-08,https://stats.espncricinfo.com/ci/engine/match/64363.html,136,10,22.058823529411764,L
4,-,11,0,0,36.36,5,lbw,2,v Sri Lanka,Cuttack,1990-12-28,https://stats.espncricinfo.com/ci/engine/match/65682.html,178,10,2.247191011235955,L
53,-,70,2,0,75.71,4,lbw,2,v Sri Lanka,Eden Gardens,1991-01-04,https://stats.espncricinfo.com/ci/engine/match/65684.html,205,3,25.853658536585368,W
52,-,40,5,0,130.00,5,not out,1,v Pakistan,Sharjah,1991-10-18,https://stats.espncricinfo.com/ci/engine/match/65941.html,238,4,21.84873949579832,W
22,-,27,3,0,81.48,5,run out,1,v West Indies,Sharjah,1991-10-19,https://stats.espncricinfo.com/ci/engine/match/65942.html,240,6,9.166666666666666,W
11,-,27,1,0,40.74,5,not out,2,v West Indies,Sharjah,1991-10-22,https://stats.espncricinfo.com/ci/engine/match/65944.html,147,3,7.482993197278912,W
49,-,38,3,2,128.94,5,caught,2,v Pakistan,Sharjah,1991-10-23,https://stats.espncricinfo.com/ci/engine/match/65945.html,253,6,19.367588932806324,L
0,-,1,0,0,0.00,5,lbw,2,v Pakistan,Sharjah,1991-10-25,https://stats.espncricinfo.com/ci/engine/match/65946.html,190,10,0.0,L
62,-,73,8,1,84.93,4,caught,2,v South Africa,Eden Gardens,1991-11-10,https://stats.espncricinfo.com/ci/engine/match/64375.html,178,7,34.831460674157306,W
4,-,8,0,0,50.00,4,caught,1,v South Africa,Gwalior,1991-11-12,https://stats.espncricinfo.com/ci/engine/match/64376.html,223,6,1.7937219730941705,W
1,-,3,0,0,33.33,4,caught,1,v South Africa,New Delhi,1991-11-14,https://stats.espncricinfo.com/ci/engine/match/64377.html,287,4,0.34843205574912894,L
1,14,9,0,0,11.11,4,caught,1,v West Indies,Perth,1991-12-06,https://stats.espncricinfo.com/ci/engine/match/65479.html,126,10,0.7936507936507936,L
36,79,65,3,0,55.38,4,caught,1,v Australia,Perth,1991-12-08,https://stats.espncricinfo.com/ci/engine/match/65480.html,208,7,17.307692307692307,W
57,111,107,3,0,53.27,4,caught,1,v Australia,Hobart,1991-12-10,https://stats.espncricinfo.com/ci/engine/match/65481.html,175,8,32.57142857142858,L
48,62,57,2,0,84.21,4,caught,1,v West Indies,Adelaide,1991-12-14,https://stats.espncricinfo.com/ci/engine/match/65483.html,262,4,18.3206106870229,W
21,38,35,3,0,60.00,4,caught,1,v Australia,Adelaide,1991-12-15,https://stats.espncricinfo.com/ci/engine/match/65484.html,157,10,13.375796178343949,L
77,157,127,5,0,60.62,4,caught,1,v West Indies,Brisbane,1992-01-11,https://stats.espncricinfo.com/ci/engine/match/65487.html,191,10,40.31413612565445,L
