Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
1,5,2,0,0,50.00,7,lbw,1,v Pakistan,Mohali,1999-04-01,https://stats.espncricinfo.com/ci/engine/match/66216.html,196,10,0.5102040816326531
19,18,24,0,1,79.16,6,caught,1,v Zimbabwe,Rajkot,2000-12-14,https://stats.espncricinfo.com/ci/engine/match/64684.html,301,6,6.312292358803987
58,62,54,8,0,107.40,6,bowled,1,v Australia,Bengaluru,2001-03-25,https://stats.espncricinfo.com/ci/engine/match/64706.html,315,10,18.412698412698415
2,7,7,0,0,28.57,6,caught,2,v Zimbabwe,Bulawayo,2001-06-27,https://stats.espncricinfo.com/ci/engine/match/66314.html,237,6,0.8438818565400843
11,19,16,1,0,68.75,6,not out,2,v West Indies,Bulawayo,2001-06-30,https://stats.espncricinfo.com/ci/engine/match/66315.html,170,4,6.470588235294119
4,9,9,1,0,44.44,3,stumped,2,v West Indies,Harare,2001-07-04,https://stats.espncricinfo.com/ci/engine/match/66317.html,230,4,1.7391304347826086
2,12,7,0,0,28.57,5,caught,2,v West Indies,Harare,2001-07-07,https://stats.espncricinfo.com/ci/engine/match/66318.html,274,8,0.7299270072992701
0,2,3,0,0,0.00,6,caught,2,v New Zealand,Colombo (RPS),2001-07-20,https://stats.espncricinfo.com/ci/engine/match/66320.html,127,10,0.0
12,17,14,0,0,85.71,8,caught,2,v Sri Lanka,Colombo (RPS),2001-07-22,https://stats.espncricinfo.com/ci/engine/match/66321.html,215,7,5.5813953488372094
33,59,54,3,0,61.11,2,run out,2,v New Zealand,Colombo (RPS),2001-07-26,https://stats.espncricinfo.com/ci/engine/match/66323.html,133,10,24.81203007518797
27,60,41,5,0,65.85,2,caught,2,v Sri Lanka,Colombo (RPS),2001-07-28,https://stats.espncricinfo.com/ci/engine/match/66324.html,184,3,14.673913043478262
0,1,1,0,0,0.00,1,lbw,1,v Sri Lanka,Colombo (SSC),2001-08-01,https://stats.espncricinfo.com/ci/engine/match/66326.html,227,8,0.0
100,97,70,19,1,142.85,2,bowled,2,v New Zealand,Colombo (SSC),2001-08-02,https://stats.espncricinfo.com/ci/engine/match/66327.html,267,3,37.453183520599254
4,8,4,1,0,100.00,2,run out,2,v Sri Lanka,Colombo (RPS),2001-08-05,https://stats.espncricinfo.com/ci/engine/match/66328.html,174,10,2.2988505747126435
5,9,5,0,0,100.00,5,caught,1,v South Africa,Johannesburg,2001-10-05,https://stats.espncricinfo.com/ci/engine/match/66098.html,279,5,1.7921146953405016
33,32,27,4,1,122.22,6,caught,1,v South Africa,Centurion,2001-10-10,https://stats.espncricinfo.com/ci/engine/match/66100.html,233,10,14.163090128755366
55,50,43,11,0,127.90,2,not out,2,v Kenya,Bloemfontein,2001-10-12,https://stats.espncricinfo.com/ci/engine/match/66101.html,91,10,60.43956043956044
4,8,5,0,0,80.00,6,caught,2,v South Africa,East London,2001-10-19,https://stats.espncricinfo.com/ci/engine/match/66104.html,236,10,1.694915254237288
55,35,23,7,3,239.13,3,not out,1,v Kenya,Paarl,2001-10-24,https://stats.espncricinfo.com/ci/engine/match/66106.html,351,3,15.669515669515668
34,80,58,4,1,58.62,3,caught,1,v South Africa,Durban,2001-10-26,https://stats.espncricinfo.com/ci/engine/match/66107.html,183,10,18.579234972677597
29,42,37,5,0,78.37,5,bowled,1,v England,Eden Gardens,2002-01-19,https://stats.espncricinfo.com/ci/engine/match/64736.html,281,8,10.320284697508896
5,11,10,0,0,50.00,5,caught,2,v England,Cuttack,2002-01-22,https://stats.espncricinfo.com/ci/engine/match/64738.html,234,10,2.1367521367521367
51,81,58,8,0,87.93,2,caught,2,v England,Chennai,2002-01-25,https://stats.espncricinfo.com/ci/engine/match/64741.html,221,6,23.076923076923077
82,70,62,14,0,132.25,2,caught,2,v England,Kanpur,2002-01-28,https://stats.espncricinfo.com/ci/engine/match/64742.html,219,2,37.44292237442922
42,49,36,7,0,116.66,1,caught,2,v England,Delhi,2002-01-31,https://stats.espncricinfo.com/ci/engine/match/64743.html,269,8,15.613382899628252
31,59,29,4,1,106.89,1,caught,2,v England,Wankhede,2002-02-03,https://stats.espncricinfo.com/ci/engine/match/64744.html,250,10,12.4
21,44,36,3,0,58.33,2,caught,2,v West Indies,Bridgetown,2002-05-29,https://stats.espncricinfo.com/ci/engine/match/64768.html,187,3,11.229946524064172
0,2,1,0,0,0.00,2,caught,1,v West Indies,Port of Spain,2002-06-01,https://stats.espncricinfo.com/ci/engine/match/64769.html,123,10,0.0
32,38,32,6,0,100.00,2,caught,1,v West Indies,Port of Spain,2002-06-02,https://stats.espncricinfo.com/ci/engine/match/64770.html,260,10,12.307692307692308
71,85,65,9,1,109.23,2,caught,2,v England,Lord's,2002-06-29,https://stats.espncricinfo.com/ci/engine/match/66284.html,272,4,26.10294117647059
12,34,20,2,0,60.00,2,caught,2,v Sri Lanka,The Oval,2002-06-30,https://stats.espncricinfo.com/ci/engine/match/66285.html,203,6,5.911330049261084
16,35,19,2,0,84.21,2,caught,1,v England,Chester-le-Street,2002-07-04,https://stats.espncricinfo.com/ci/engine/match/66287.html,285,4,5.614035087719298
0,1,1,0,0,0.00,1,bowled,2,v Sri Lanka,Birmingham,2002-07-06,https://stats.espncricinfo.com/ci/engine/match/66288.html,188,6,0.0
46,42,41,8,1,112.19,1,caught,2,v England,The Oval,2002-07-09,https://stats.espncricinfo.com/ci/engine/match/66290.html,165,10,27.878787878787882
39,61,40,6,0,97.50,2,run out,1,v Sri Lanka,Bristol,2002-07-11,https://stats.espncricinfo.com/ci/engine/match/66291.html,304,10,12.828947368421053
45,77,49,7,0,91.83,1,bowled,2,v England,Lord's,2002-07-13,https://stats.espncricinfo.com/ci/engine/match/66292.html,326,8,13.803680981595093
48,65,36,8,0,133.33,2,caught,1,v Zimbabwe,Colombo (RPS),2002-09-14,https://stats.espncricinfo.com/ci/engine/match/66182.html,288,6,16.666666666666664
126,136,104,21,1,121.15,1,caught,2,v England,Colombo (RPS),2002-09-22,https://stats.espncricinfo.com/ci/engine/match/66190.html,271,2,46.494464944649444
59,87,58,10,0,101.72,1,caught,1,v South Africa,Colombo (RPS),2002-09-25,https://stats.espncricinfo.com/ci/engine/match/66192.html,261,9,22.60536398467433
13,8,5,3,0,260.00,2,not out,2,v Sri Lanka,Colombo (RPS),2002-09-29,https://stats.espncricinfo.com/ci/engine/match/66194.html,14,10,92.85714285714286
