Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match URL,Team Total,Wickets Fallen,Percentage Scored
84,121,80,12,0,105.00,5,caught,1,v Australia,Nairobi (Gym),2000-10-07,https://stats.espncricinfo.com/ci/engine/match/66173.html,265,9,31.69811320754717
41,39,35,6,0,117.14,4,caught,1,v South Africa,Nairobi (Gym),2000-10-13,https://stats.espncricinfo.com/ci/engine/match/66178.html,295,6,13.898305084745763
18,31,19,2,0,94.73,4,caught,1,v New Zealand,Nairobi (Gym),2000-10-15,https://stats.espncricinfo.com/ci/engine/match/66179.html,264,6,6.8181818181818175
7,-,15,0,0,46.66,5,bowled,1,v Sri Lanka,Sharjah,2000-10-20,https://stats.espncricinfo.com/ci/engine/match/65894.html,224,8,3.125
34,-,39,1,2,87.17,5,bowled,1,v Zimbabwe,Sharjah,2000-10-22,https://stats.espncricinfo.com/ci/engine/match/65896.html,265,8,12.830188679245284
4,-,11,0,0,36.36,5,caught,2,v Zimbabwe,Sharjah,2000-10-26,https://stats.espncricinfo.com/ci/engine/match/65898.html,219,7,1.82648401826484
7,-,17,0,0,41.17,6,caught,2,v Sri Lanka,Sharjah,2000-10-27,https://stats.espncricinfo.com/ci/engine/match/65899.html,226,10,3.0973451327433628
3,-,8,0,0,37.50,3,caught,2,v Sri Lanka,Sharjah,2000-10-29,https://stats.espncricinfo.com/ci/engine/match/65900.html,54,10,5.555555555555555
11,7,6,2,0,183.33,4,lbw,2,v Zimbabwe,Cuttack,2000-12-02,https://stats.espncricinfo.com/ci/engine/match/64680.html,255,7,4.313725490196078
17,23,16,1,1,106.25,4,caught,1,v Zimbabwe,Ahmedabad,2000-12-05,https://stats.espncricinfo.com/ci/engine/match/64681.html,306,5,5.555555555555555
5,13,16,0,0,31.25,4,caught,1,v Zimbabwe,Jodhpur,2000-12-08,https://stats.espncricinfo.com/ci/engine/match/64682.html,283,8,1.76678445229682
29,31,23,5,0,126.08,5,lbw,1,v Zimbabwe,Rajkot,2000-12-14,https://stats.espncricinfo.com/ci/engine/match/64684.html,301,6,9.634551495016613
19,22,21,2,0,90.47,6,run out,1,v Australia,Margao,2001-04-06,https://stats.espncricinfo.com/ci/engine/match/64711.html,265,6,7.169811320754717
6,16,15,1,0,40.00,1,lbw,2,v New Zealand,Colombo (RPS),2001-07-20,https://stats.espncricinfo.com/ci/engine/match/66320.html,127,10,4.724409448818897
12,25,17,2,0,70.58,2,caught,2,v Sri Lanka,Colombo (RPS),2001-07-22,https://stats.espncricinfo.com/ci/engine/match/66321.html,215,7,5.5813953488372094
28,50,51,3,0,54.90,6,caught,2,v New Zealand,Colombo (RPS),2001-07-26,https://stats.espncricinfo.com/ci/engine/match/66323.html,133,10,21.052631578947366
98,143,110,6,1,89.09,6,not out,1,v Sri Lanka,Colombo (SSC),2001-08-01,https://stats.espncricinfo.com/ci/engine/match/66326.html,227,8,43.17180616740088
6,10,6,1,0,100.00,6,bowled,2,v Sri Lanka,Colombo (RPS),2001-08-05,https://stats.espncricinfo.com/ci/engine/match/66328.html,174,10,3.4482758620689653
14,27,18,2,0,77.77,4,caught,1,v South Africa,Johannesburg,2001-10-05,https://stats.espncricinfo.com/ci/engine/match/66098.html,279,5,5.017921146953405
42,79,55,4,1,76.36,5,bowled,1,v South Africa,Centurion,2001-10-10,https://stats.espncricinfo.com/ci/engine/match/66100.html,233,10,18.025751072961373
0,1,1,0,0,0.00,5,bowled,2,v Kenya,Gqeberha,2001-10-17,https://stats.espncricinfo.com/ci/engine/match/66103.html,176,10,0.0
3,10,8,0,0,37.50,5,lbw,2,v South Africa,East London,2001-10-19,https://stats.espncricinfo.com/ci/engine/match/66104.html,236,10,1.2711864406779663
10,10,8,0,0,125.00,5,not out,1,v Kenya,Paarl,2001-10-24,https://stats.espncricinfo.com/ci/engine/match/66106.html,351,3,2.849002849002849
0,3,2,0,0,0.00,6,caught,1,v South Africa,Durban,2001-10-26,https://stats.espncricinfo.com/ci/engine/match/66107.html,183,10,0.0
80,74,60,8,1,133.33,6,not out,2,v Zimbabwe,Hyderabad (Deccan),2002-03-16,https://stats.espncricinfo.com/ci/engine/match/64756.html,244,5,32.78688524590164
75,81,52,6,3,144.23,6,caught,1,v Zimbabwe,Guwahati,2002-03-19,https://stats.espncricinfo.com/ci/engine/match/64757.html,333,6,22.52252252252252
1,6,6,0,0,16.66,5,caught,1,v West Indies,Port of Spain,2002-06-01,https://stats.espncricinfo.com/ci/engine/match/64769.html,123,10,0.8130081300813009
10,18,16,1,0,62.50,6,bowled,1,v West Indies,Port of Spain,2002-06-02,https://stats.espncricinfo.com/ci/engine/match/64770.html,260,10,3.8461538461538463
64,93,65,7,0,98.46,6,not out,2,v England,Lord's,2002-06-29,https://stats.espncricinfo.com/ci/engine/match/66284.html,272,4,23.52941176470588
31,68,44,3,0,70.45,6,caught,2,v Sri Lanka,The Oval,2002-06-30,https://stats.espncricinfo.com/ci/engine/match/66285.html,203,6,15.270935960591133
40,24,19,4,1,210.52,6,not out,1,v England,Chester-le-Street,2002-07-04,https://stats.espncricinfo.com/ci/engine/match/66287.html,285,4,14.035087719298245
37,87,68,4,1,54.41,6,caught,2,v Sri Lanka,Birmingham,2002-07-06,https://stats.espncricinfo.com/ci/engine/match/66288.html,188,6,19.680851063829788
5,19,13,0,0,38.46,5,stumped,2,v England,The Oval,2002-07-09,https://stats.espncricinfo.com/ci/engine/match/66290.html,165,10,3.0303030303030303
8,10,11,1,0,72.72,6,lbw,1,v Sri Lanka,Bristol,2002-07-11,https://stats.espncricinfo.com/ci/engine/match/66291.html,304,10,2.631578947368421
69,82,63,9,1,109.52,6,caught,2,v England,Lord's,2002-07-13,https://stats.espncricinfo.com/ci/engine/match/66292.html,326,8,21.165644171779142
3,7,7,0,0,42.85,6,caught,1,v Zimbabwe,Colombo (RPS),2002-09-14,https://stats.espncricinfo.com/ci/engine/match/66182.html,288,6,1.0416666666666665
62,84,72,6,0,86.11,6,caught,1,v South Africa,Colombo (RPS),2002-09-25,https://stats.espncricinfo.com/ci/engine/match/66192.html,261,9,23.754789272030653
4,14,8,0,0,50.00,6,caught,1,v West Indies,Jamshedpur,2002-11-06,https://stats.espncricinfo.com/ci/engine/match/64785.html,283,6,1.4134275618374559
1,2,2,0,0,50.00,7,caught,1,v West Indies,Nagpur,2002-11-09,https://stats.espncricinfo.com/ci/engine/match/64786.html,279,9,0.35842293906810035
30,43,30,1,1,100.00,5,caught,2,v West Indies,Ahmedabad,2002-11-15,https://stats.espncricinfo.com/ci/engine/match/64788.html,325,5,9.230769230769232
15,21,12,2,0,125.00,6,caught,1,v West Indies,Vadodara,2002-11-18,https://stats.espncricinfo.com/ci/engine/match/64789.html,290,8,5.172413793103448
54,79,64,7,0,84.37,5,caught,2,v West Indies,Jodhpur,2002-11-21,https://stats.espncricinfo.com/ci/engine/match/64790.html,202,7,26.732673267326735
68,-,69,7,1,98.55,5,bowled,2,v West Indies,Vijayawada,2002-11-24,https://stats.espncricinfo.com/ci/engine/match/64792.html,180,10,37.77777777777778
2,2,3,0,0,66.66,6,caught,1,v New Zealand,Auckland,2002-12-26,https://stats.espncricinfo.com/ci/engine/match/64813.html,108,10,1.8518518518518516
0,1,2,0,0,0.00,5,stumped,2,v New Zealand,Napier,2002-12-29,https://stats.espncricinfo.com/ci/engine/match/64814.html,219,10,0.0
12,60,44,1,0,27.27,6,run out,1,v New Zealand,Christchurch,2003-01-01,https://stats.espncricinfo.com/ci/engine/match/64815.html,108,10,11.11111111111111
25,86,61,3,0,40.98,6,caught,1,v New Zealand,Queenstown,2003-01-04,https://stats.espncricinfo.com/ci/engine/match/64816.html,122,10,20.491803278688526
54,124,85,8,0,63.52,6,caught,2,v New Zealand,Wellington,2003-01-08,https://stats.espncricinfo.com/ci/engine/match/64817.html,169,8,31.952662721893493
8,30,25,0,0,32.00,5,caught,2,v New Zealand,Auckland,2003-01-11,https://stats.espncricinfo.com/ci/engine/match/64818.html,200,9,4.0
33,82,58,4,0,56.89,6,caught,1,v New Zealand,Hamilton,2003-01-14,https://stats.espncricinfo.com/ci/engine/match/64819.html,122,10,27.049180327868854
37,87,56,3,0,66.07,5,caught,1,v Netherlands,Paarl,2003-02-12,https://stats.espncricinfo.com/ci/engine/match/65241.html,204,10,18.137254901960784
0,8,8,0,0,0.00,5,lbw,1,v Australia,Centurion,2003-02-15,https://stats.espncricinfo.com/ci/engine/match/65244.html,125,10,0.0
1,3,5,0,0,20.00,6,caught,1,v Zimbabwe,Harare,2003-02-19,https://stats.espncricinfo.com/ci/engine/match/65250.html,255,7,0.39215686274509803
7,13,7,1,0,100.00,4,not out,1,v Namibia,Pietermaritzburg,2003-02-23,https://stats.espncricinfo.com/ci/engine/match/65257.html,311,2,2.2508038585209005
42,38,38,4,1,110.52,6,caught,1,v England,Durban,2003-02-26,https://stats.espncricinfo.com/ci/engine/match/65262.html,250,9,16.8
50,91,53,6,0,94.33,6,not out,2,v Pakistan,Centurion,2003-03-01,https://stats.espncricinfo.com/ci/engine/match/65268.html,276,4,18.115942028985508
58,71,64,7,0,90.62,6,not out,2,v Kenya,Cape Town,2003-03-07,https://stats.espncricinfo.com/ci/engine/match/65276.html,226,4,25.663716814159294
5,7,6,0,0,83.33,5,bowled,1,v Sri Lanka,Johannesburg,2003-03-10,https://stats.espncricinfo.com/ci/engine/match/65278.html,292,6,1.7123287671232876
16,15,10,1,1,160.00,5,caught,1,v Kenya,Durban,2003-03-20,https://stats.espncricinfo.com/ci/engine/match/65285.html,270,4,5.9259259259259265
24,48,34,1,0,70.58,6,caught,2,v Australia,Johannesburg,2003-03-23,https://stats.espncricinfo.com/ci/engine/match/65286.html,234,10,10.256410256410255
102,99,85,9,4,120.00,5,not out,1,v Bangladesh,Dhaka,2003-04-11,https://stats.espncricinfo.com/ci/engine/match/66350.html,276,10,36.95652173913043
11,17,12,1,0,91.66,5,run out,1,v South Africa,Dhaka,2003-04-13,https://stats.espncricinfo.com/ci/engine/match/66351.html,307,4,3.5830618892508146
2,-,10,0,0,20.00,5,not out,1,v South Africa,Dhaka,2003-04-21,https://stats.espncricinfo.com/ci/engine/match/66356.html,46,3,4.3478260869565215
29,46,38,4,0,76.31,5,not out,1,v New Zealand,Chennai,2003-10-23,https://stats.espncricinfo.com/ci/engine/match/66364.html,141,3,20.56737588652482
44,44,33,6,1,133.33,4,caught,1,v Australia,Gwalior,2003-10-26,https://stats.espncricinfo.com/ci/engine/match/66365.html,283,5,15.547703180212014
9,13,15,1,0,60.00,5,caught,2,v Australia,Wankhede,2003-11-01,https://stats.espncricinfo.com/ci/engine/match/66367.html,209,10,4.30622009569378
0,1,3,0,0,0.00,5,caught,1,v New Zealand,Cuttack,2003-11-06,https://stats.espncricinfo.com/ci/engine/match/66369.html,246,9,0.0
20,24,16,3,0,125.00,6,lbw,2,v Australia,Bengaluru,2003-11-12,https://stats.espncricinfo.com/ci/engine/match/66371.html,286,8,6.993006993006993
7,15,10,0,0,70.00,4,caught,1,v New Zealand,Hyderabad (Deccan),2003-11-15,https://stats.espncricinfo.com/ci/engine/match/66372.html,353,5,1.9830028328611897
4,8,6,0,0,66.66,5,caught,2,v Australia,Eden Gardens,2003-11-18,https://stats.espncricinfo.com/ci/engine/match/66373.html,198,10,2.0202020202020203
25,37,24,0,1,104.16,6,caught,2,v Australia,Melbourne,2004-01-09,https://stats.espncricinfo.com/ci/engine/match/65643.html,270,10,9.25925925925926
5,6,4,1,0,125.00,5,bowled,1,v Australia,Brisbane,2004-01-18,https://stats.espncricinfo.com/ci/engine/match/65647.html,303,4,1.65016501650165
69,83,76,3,0,90.78,5,bowled,1,v Zimbabwe,Brisbane,2004-01-20,https://stats.espncricinfo.com/ci/engine/match/65648.html,255,6,27.058823529411764
139,143,122,16,2,113.93,5,bowled,1,v Australia,Sydney,2004-01-22,https://stats.espncricinfo.com/ci/engine/match/65649.html,296,4,46.95945945945946
47,91,62,5,0,75.80,6,caught,1,v Australia,Perth,2004-02-01,https://stats.espncricinfo.com/ci/engine/match/65653.html,203,10,23.15270935960591
4,14,8,1,0,50.00,5,caught,2,v Zimbabwe,Perth,2004-02-03,https://stats.espncricinfo.com/ci/engine/match/65654.html,136,6,2.941176470588235
21,30,21,3,0,100.00,6,caught,1,v Australia,Melbourne,2004-02-06,https://stats.espncricinfo.com/ci/engine/match/65655.html,222,10,9.45945945945946
4,19,15,1,0,26.66,6,caught,2,v Australia,Sydney,2004-02-08,https://stats.espncricinfo.com/ci/engine/match/65656.html,151,10,2.6490066225165565
3,11,9,0,0,33.33,5,caught,1,v Pakistan,Karachi,2004-03-13,https://stats.espncricinfo.com/ci/engine/match/64880.html,349,7,0.8595988538681949
19,30,20,2,0,95.00,6,caught,2,v Pakistan,Rawalpindi,2004-03-16,https://stats.espncricinfo.com/ci/engine/match/64882.html,317,10,5.993690851735016
65,99,76,7,1,85.52,6,caught,1,v Pakistan,Peshawar,2004-03-19,https://stats.espncricinfo.com/ci/engine/match/64883.html,244,9,26.639344262295083
36,44,35,5,0,102.85,6,caught,2,v Pakistan,Lahore,2004-03-21,https://stats.espncricinfo.com/ci/engine/match/64884.html,294,5,12.244897959183673
18,22,19,2,0,94.73,6,caught,1,v Pakistan,Lahore,2004-03-24,https://stats.espncricinfo.com/ci/engine/match/64885.html,293,7,6.143344709897611
22,23,25,2,0,88.00,6,bowled,1,v U.A.E.,Dambulla,2004-07-16,https://stats.espncricinfo.com/ci/engine/match/65707.html,260,6,8.461538461538462
47,107,78,4,0,60.25,6,caught,2,v Sri Lanka,Dambulla,2004-07-18,https://stats.espncricinfo.com/ci/engine/match/65711.html,270,8,17.40740740740741
28,37,29,4,0,96.55,5,caught,2,v Pakistan,Colombo (RPS),2004-07-25,https://stats.espncricinfo.com/ci/engine/match/65715.html,241,8,11.618257261410788
50,55,46,4,0,108.69,5,caught,1,v Sri Lanka,Colombo (RPS),2004-07-27,https://stats.espncricinfo.com/ci/engine/match/65716.html,271,6,18.45018450184502
8,30,29,0,0,27.58,6,bowled,2,v Sri Lanka,Colombo (RPS),2004-08-01,https://stats.espncricinfo.com/ci/engine/match/65718.html,203,9,3.9408866995073892
13,34,24,0,0,54.16,5,lbw,2,v Pakistan,Amstelveen,2004-08-21,https://stats.espncricinfo.com/ci/engine/match/66374.html,127,10,10.236220472440944
4,25,6,1,0,66.66,5,run out,1,v England,Nottingham,2004-09-01,https://stats.espncricinfo.com/ci/engine/match/65032.html,170,10,2.3529411764705883
24,51,40,2,0,60.00,6,caught,2,v England,The Oval,2004-09-03,https://stats.espncricinfo.com/ci/engine/match/65033.html,237,10,10.126582278481013
9,18,12,0,0,75.00,6,caught,1,v England,Lord's,2004-09-05,https://stats.espncricinfo.com/ci/engine/match/65034.html,204,10,4.411764705882353
9,13,9,1,0,100.00,4,caught,1,v Kenya,Southampton,2004-09-11,https://stats.espncricinfo.com/ci/engine/match/66198.html,290,4,3.103448275862069
0,2,3,0,0,0.00,6,caught,1,v Pakistan,Birmingham,2004-09-19,https://stats.espncricinfo.com/ci/engine/match/66207.html,200,10,0.0
78,74,62,10,2,125.80,6,caught,1,v Pakistan,Eden Gardens,2004-11-13,https://stats.espncricinfo.com/ci/engine/match/66384.html,292,6,26.71232876712329
21,53,33,4,0,63.63,3,lbw,1,v Bangladesh,Chattogram,2004-12-23,https://stats.espncricinfo.com/ci/engine/match/64914.html,245,8,8.571428571428571
4,13,8,1,0,50.00,3,caught,2,v Bangladesh,Dhaka,2004-12-26,https://stats.espncricinfo.com/ci/engine/match/64916.html,214,10,1.8691588785046727
69,34,32,8,3,215.62,6,caught,1,v Bangladesh,Dhaka,2004-12-27,https://stats.espncricinfo.com/ci/engine/match/64917.html,348,5,19.82758620689655
16,26,22,2,0,72.72,5,caught,1,v Pakistan,Kochi,2005-04-02,https://stats.espncricinfo.com/ci/engine/match/64938.html,281,8,5.6939501779359425
15,21,10,2,0,150.00,6,lbw,1,v Pakistan,Visakhapatnam,2005-04-05,https://stats.espncricinfo.com/ci/engine/match/64939.html,356,9,4.213483146067416
1,12,8,0,0,12.50,6,caught,2,v Pakistan,Jamshedpur,2005-04-09,https://stats.espncricinfo.com/ci/engine/match/64940.html,213,10,0.4694835680751174
35,35,26,5,0,134.61,6,not out,1,v Pakistan,Ahmedabad,2005-04-12,https://stats.espncricinfo.com/ci/engine/match/64941.html,315,6,11.11111111111111
18,38,33,4,0,54.54,5,bowled,1,v Pakistan,Kanpur,2005-04-15,https://stats.espncricinfo.com/ci/engine/match/64942.html,249,6,7.228915662650602
13,26,17,2,0,76.47,5,run out,2,v Pakistan,Delhi,2005-04-17,https://stats.espncricinfo.com/ci/engine/match/64943.html,144,10,9.027777777777777
12,47,33,2,0,36.36,3,caught,1,v Sri Lanka,Dambulla,2005-07-30,https://stats.espncricinfo.com/ci/engine/match/214634.html,205,9,5.853658536585367
28,81,58,3,0,48.27,5,bowled,2,v West Indies,Dambulla,2005-07-31,https://stats.espncricinfo.com/ci/engine/match/214742.html,180,4,15.555555555555555
110,149,114,11,1,96.49,5,caught,1,v West Indies,Colombo (RPS),2005-08-07,https://stats.espncricinfo.com/ci/engine/match/215286.html,262,4,41.98473282442748
42,75,58,2,0,72.41,4,caught,2,v Sri Lanka,Colombo (RPS),2005-08-09,https://stats.espncricinfo.com/ci/engine/match/215449.html,263,9,15.96958174904943
1,5,4,0,0,25.00,5,caught,2,v New Zealand,Bulawayo,2005-08-26,https://stats.espncricinfo.com/ci/engine/match/217116.html,164,10,0.6097560975609756
53,-,71,3,1,74.64,5,not out,1,v Zimbabwe,Harare,2005-08-29,https://stats.espncricinfo.com/ci/engine/match/217481.html,226,6,23.451327433628318
22,-,23,1,1,95.65,5,lbw,2,v New Zealand,Harare,2005-09-02,https://stats.espncricinfo.com/ci/engine/match/217811.html,279,4,7.885304659498208
120,155,124,12,1,96.77,5,caught,2,v Zimbabwe,Harare,2005-09-04,https://stats.espncricinfo.com/ci/engine/match/217979.html,255,6,47.05882352941176
20,29,32,1,0,62.50,5,caught,1,v New Zealand,Harare,2005-09-06,https://stats.espncricinfo.com/ci/engine/match/218250.html,276,10,7.246376811594203
14,14,18,1,0,77.77,4,lbw,1,v Sri Lanka,Nagpur,2005-10-25,https://stats.espncricinfo.com/ci/engine/match/223018.html,350,6,4.0
18,48,24,3,0,75.00,5,bowled,2,v Sri Lanka,Jaipur,2005-10-31,https://stats.espncricinfo.com/ci/engine/match/223634.html,303,4,5.9405940594059405
10,10,10,2,0,100.00,3,caught,2,v Sri Lanka,Pune,2005-11-03,https://stats.espncricinfo.com/ci/engine/match/223902.html,262,6,3.816793893129771
3,29,21,0,0,14.28,4,caught,1,v Sri Lanka,Ahmedabad,2005-11-06,https://stats.espncricinfo.com/ci/engine/match/224231.html,285,8,1.0526315789473684
79,72,67,9,3,117.91,5,not out,2,v Sri Lanka,Rajkot,2005-11-09,https://stats.espncricinfo.com/ci/engine/match/224556.html,197,3,40.10152284263959
0,3,0,0,0,-,7,not out,2,v Sri Lanka,Vadodara,2005-11-12,https://stats.espncricinfo.com/ci/engine/match/225437.html,245,5,0.0
103,192,122,10,3,84.42,5,run out,1,v South Africa,Hyderabad,2005-11-16,https://stats.espncricinfo.com/ci/engine/match/225959.html,249,9,41.365461847389554
4,6,6,1,0,66.66,6,not out,2,v South Africa,Bengaluru,2005-11-19,https://stats.espncricinfo.com/ci/engine/match/226315.html,171,4,2.3391812865497075
53,103,78,7,0,67.94,6,lbw,1,v South Africa,Eden Gardens,2005-11-25,https://stats.espncricinfo.com/ci/engine/match/226358.html,188,10,28.191489361702125
49,78,64,7,0,76.56,5,caught,2,v South Africa,Wankhede,2005-11-28,https://stats.espncricinfo.com/ci/engine/match/226359.html,224,5,21.875
39,28,28,4,1,139.28,5,caught,1,v Pakistan,Peshawar,2006-02-06,https://stats.espncricinfo.com/ci/engine/match/235831.html,328,10,11.890243902439025
82,103,89,8,2,92.13,4,not out,2,v Pakistan,Rawalpindi,2006-02-11,https://stats.espncricinfo.com/ci/engine/match/236520.html,266,3,30.82706766917293
79,135,87,10,0,90.80,5,not out,2,v Pakistan,Lahore,2006-02-13,https://stats.espncricinfo.com/ci/engine/match/236809.html,292,5,27.054794520547947
37,72,57,6,0,64.91,4,caught,2,v Pakistan,Multan,2006-02-16,https://stats.espncricinfo.com/ci/engine/match/237222.html,162,5,22.839506172839506
107,155,93,14,0,115.05,3,not out,2,v Pakistan,Karachi,2006-02-19,https://stats.espncricinfo.com/ci/engine/match/237571.html,287,2,37.282229965156795
1,5,6,0,0,16.66,4,bowled,1,v England,Delhi,2006-03-28,https://stats.espncricinfo.com/ci/engine/match/238188.html,203,10,0.49261083743842365
18,38,20,4,0,90.00,4,bowled,2,v England,Faridabad,2006-03-31,https://stats.espncricinfo.com/ci/engine/match/238189.html,230,6,7.82608695652174
103,114,76,10,3,135.52,4,caught,1,v England,Margao,2006-04-03,https://stats.espncricinfo.com/ci/engine/match/238190.html,294,6,35.034013605442176
48,73,55,6,0,87.27,5,caught,2,v England,Kochi,2006-04-06,https://stats.espncricinfo.com/ci/engine/match/238191.html,238,6,20.168067226890756
4,15,11,0,0,36.36,4,bowled,1,v England,Jamshedpur,2006-04-12,https://stats.espncricinfo.com/ci/engine/match/238193.html,223,10,1.7937219730941705
63,91,57,6,0,110.52,3,not out,2,v England,Indore,2006-04-15,https://stats.espncricinfo.com/ci/engine/match/238194.html,289,3,21.79930795847751
7,15,4,1,0,175.00,4,caught,1,v Pakistan,Abu Dhabi,2006-04-18,https://stats.espncricinfo.com/ci/engine/match/244510.html,197,10,3.5532994923857872
24,16,10,3,1,240.00,4,caught,1,v Pakistan,Abu Dhabi,2006-04-19,https://stats.espncricinfo.com/ci/engine/match/244511.html,269,5,8.921933085501859
12,30,28,1,0,42.85,4,caught,2,v West Indies,Kingston,2006-05-18,https://stats.espncricinfo.com/ci/engine/match/239915.html,254,5,4.724409448818897
93,190,121,8,1,76.85,4,bowled,2,v West Indies,Kingston,2006-05-20,https://stats.espncricinfo.com/ci/engine/match/239916.html,197,10,47.20812182741117
52,-,78,5,0,66.66,4,caught,1,v West Indies,Port of Spain,2006-05-26,https://stats.espncricinfo.com/ci/engine/match/239918.html,217,7,23.963133640552993
26,-,30,2,0,86.66,5,bowled,2,v West Indies,Port of Spain,2006-05-28,https://stats.espncricinfo.com/ci/engine/match/239919.html,236,10,11.016949152542372
0,6,3,0,0,0.00,5,caught,2,v Australia,Kuala Lumpur,2006-09-16,https://stats.espncricinfo.com/ci/engine/match/256608.html,35,5,0.0
0,5,4,0,0,0.00,5,caught,1,v West Indies,Kuala Lumpur,2006-09-20,https://stats.espncricinfo.com/ci/engine/match/256612.html,162,10,0.0
27,88,61,4,0,44.26,5,not out,2,v England,Jaipur,2006-10-15,https://stats.espncricinfo.com/ci/engine/match/249745.html,126,6,21.428571428571427
27,55,43,4,0,62.79,5,caught,1,v West Indies,Ahmedabad,2006-10-26,https://stats.espncricinfo.com/ci/engine/match/249753.html,223,9,12.10762331838565
10,29,21,1,0,47.61,6,caught,1,v West Indies,Chennai,2007-01-27,https://stats.espncricinfo.com/ci/engine/match/267708.html,268,10,3.731343283582089
21,50,31,4,0,67.74,4,caught,2,v Sri Lanka,Margao,2007-02-14,https://stats.espncricinfo.com/ci/engine/match/267715.html,233,5,9.012875536480687
95,91,83,11,3,114.45,5,not out,2,v Sri Lanka,Visakhapatnam,2007-02-17,https://stats.espncricinfo.com/ci/engine/match/267713.html,263,3,36.12167300380228
47,60,58,3,1,81.03,6,caught,1,v Bangladesh,Port of Spain,2007-03-17,https://stats.espncricinfo.com/ci/engine/match/247464.html,191,10,24.60732984293194
83,52,46,3,7,180.43,5,caught,1,v Bermuda,Port of Spain,2007-03-19,https://stats.espncricinfo.com/ci/engine/match/247468.html,413,5,20.09685230024213
6,15,12,0,0,50.00,6,run out,2,v Sri Lanka,Port of Spain,2007-03-23,https://stats.espncricinfo.com/ci/engine/match/247476.html,185,10,3.2432432432432434
1,11,9,0,0,11.11,4,caught,2,v Bangladesh,Mirpur,2007-05-10,https://stats.espncricinfo.com/ci/engine/match/282688.html,251,5,0.398406374501992
24,21,22,2,2,109.09,4,caught,1,v Bangladesh,Mirpur,2007-05-12,https://stats.espncricinfo.com/ci/engine/match/282689.html,284,8,8.450704225352112
